framework,mtu,throughput
Pnet,512,8.6342916
Pnet,512,8.623075824
Pnet,512,8.629078304
Pnet,256,3.377334528
Pnet,256,3.378344112
Pnet,256,3.374528688
Pnet,256,3.329823168
Pnet,256,3.358961136
Pnet,256,3.378290976
Pnet,256,3.372641712
Pnet,256,3.37994208
Pnet,256,3.37108392
Pnet,256,3.365136576
Pnet,256,3.374536464
Pnet,256,3.36949632
Pnet,256,3.331987488
Pnet,128,0.714844832
Pnet,128,0.678720512
Pnet,128,0.714478992
Pnet,128,0.7140612
Pnet,128,0.71487448
Pnet,128,0.715695648
Pnet,128,0.717297728
Pnet,128,0.683002608
Pnet,128,0.71568096
Pnet,128,0.68167824
Pnet,128,0.682177088
Pnet,128,0.7166792
Pnet,128,0.716916384
Pnet,128,0.7147684
Pnet,128,0.716203472
Pnet,128,0.71621136
Pnet,128,0.71734968
Pnet,128,0.716749648
Pnet,128,0.717669824
