framework,mtu,throughput
Pnet,512,5.968963776
Pnet,512,5.974342528
Pnet,512,5.958792512
Pnet,512,5.968296928
Pnet,512,5.96953536
Pnet,512,5.975602944
Pnet,1518,11.547235584
Pnet,1518,11.823287424
Pnet,1518,11.802978816
Pnet,1518,11.676793728
Pnet,1518,11.773511424
Pnet,1518,11.815721472
Pnet,1518,11.806679808
Pnet,1518,11.751516288
Pnet,1518,11.77009152
Pnet,1518,11.639947776
Pnet,1518,11.806914048
Pnet,1518,11.802580608
Pnet,1518,11.804454528
Pnet,1518,11.82220992
Pnet,1518,11.799863424
Pnet,1518,11.823545088
Pnet,1518,11.815557504
Pnet,1518,11.811598848
Pnet,1518,11.813519616
Pnet,1518,11.829565056
Pnet,1518,11.816775552
Pnet,1518,11.814901632
Pnet,1518,11.824833408
Pnet,1518,11.819141376
Pnet,1518,11.791805568
Pnet,1518,11.75264064
